COND天气状况,TMP气温(℃),FEELST体感温度(℃),PRES气压(hPa),HUM相对湿度(%),RAIN降水量(mm),WDIR风向,WSC风力,WSPD风速(m/s),AQI,PM2.5(渭g/m鲁),PM10(渭g/m鲁),NO2(渭g/m鲁),SO2(渭g/m鲁),O3(渭g/m鲁),CO(mg/m鲁)
霾,-2.0,-4.4,1024,67,0.0,2,1,1.0,277.0,227.0,254.0,104.0,43.0,16.0,4.8
霾,-2.7,-5.4,1024,70,0.0,2,1,1.0,245.0,195.0,200.0,95.0,26.0,10.0,3.4
霾,-3.3,-6.4,1024,72,0.0,2,1,1.2,240.0,190.0,203.0,94.0,25.0,11.0,3.7
霾,-3.6,-6.6,1023,71,0.0,2,1,1.1,255.0,205.0,218.0,96.0,45.0,13.0,3.7
霾,-3.8,-6.6,1022,68,0.0,2,1,1.3,249.0,199.0,202.0,93.0,47.0,15.0,3.2
霾,-3.8,-6.7,1022,68,0.0,2,1,1.4,195.0,146.0,0.0,88.0,41.0,11.0,2.4
霾,-3.9,-6.6,1021,68,0.0,2,1,1.1,145.0,111.0,0.0,82.0,34.0,9.0,2.3
霾,-4.3,-7.1,1021,70,0.0,4,1,0.8,125.0,95.0,98.0,84.0,28.0,9.0,2.3
霾,-4.7,-7.9,1021,73,0.0,2,1,0.8,142.0,108.0,111.0,85.0,29.0,9.0,2.6
霾,-1.7,-3.8,1022,64,0.0,2,1,1.0,148.0,113.0,117.0,81.0,29.0,9.0,2.5
霾,0.6,-0.2,1021,53,0.0,2,1,0.8,143.0,109.0,119.0,81.0,33.0,10.0,2.6
霾,2.0,1.6,1020,47,0.0,2,1,1.1,128.0,97.0,106.0,72.0,30.0,11.0,2.1
霾,2.9,2.8,1019,42,0.0,2,1,1.5,147.0,112.0,119.0,71.0,34.0,16.0,2.0
霾,4.4,4.8,1017,40,0.0,6,1,0.8,192.0,144.0,0.0,76.0,44.0,21.0,2.2
霾,5.0,5.6,1017,38,0.0,4,1,0.7,226.0,176.0,184.0,91.0,50.0,22.0,2.5
